iter	Passed	Remaining
0	185	184849
1	243	121755
2	298	99216
3	328	81830
4	359	71586
5	420	69701
6	494	70168
7	586	72698
8	699	76974
9	819	81177
10	910	81819
11	959	78989
12	999	75892
13	1083	76329
14	1226	80539
15	1337	82251
16	1368	79148
17	1774	96818
18	1945	100438
19	2001	98078
20	2236	104260
21	2379	105780
22	2537	107769
23	2659	108170
24	2835	110584
25	2910	109040
26	2939	105943
27	3008	104420
28	3089	103454
29	3189	103123
30	3265	102067
31	3364	101780
32	3410	99932
33	3537	100498
34	3609	99526
35	3735	100034
36	3816	99339
37	3891	98527
38	3967	97769
39	4044	97059
40	4101	95930
41	4126	94122
42	4275	95163
43	4374	95039
44	4452	94487
45	4503	93403
46	4556	92387
47	4630	91830
48	4723	91682
49	4848	92120
50	4922	91595
51	4994	91054
52	5040	90059
53	5186	90866
54	5239	90022
55	5378	90662
56	5475	90587
57	5557	90255
58	5781	92217
59	5836	91439
60	5983	92099
61	6057	91648
62	6177	91883
63	6347	92838
64	6404	92123
65	6503	92034
66	6601	91932
67	6700	91838
68	6823	92061
69	6880	91409
70	6982	91368
71	7104	91565
72	7191	91319
73	7248	90703
74	7278	89762
75	7373	89647
76	7491	89797
77	7666	90627
78	7769	90581
79	7821	89943
80	7862	89207
81	7969	89219
82	8041	88845
83	8086	88182
84	8186	88123
85	8305	88269
86	8333	87453
87	8407	87130
88	8451	86508
89	8485	85797
90	8531	85223
91	8582	84710
92	8681	84669
93	8728	84131
94	8802	83856
95	8899	83800
96	9076	84491
97	9170	84409
98	9218	83895
99	9318	83868
100	9422	83868
101	9469	83371
102	9522	82929
103	9597	82687
104	9654	82289
105	9735	82104
106	9882	82480
107	9979	82419
108	10127	82781
109	10180	82373
110	10276	82304
111	10371	82228
112	10481	82278
113	10539	81910
114	10664	82067
115	10737	81823
116	10954	82674
117	11030	82448
118	11101	82188
119	11197	82114
120	11370	82603
121	11421	82194
122	11476	81825
123	11599	81946
124	11677	81744
125	11844	82162
126	11916	81915
127	12041	82034
128	12113	81788
129	12171	81455
130	12260	81329
131	12326	81055
132	12399	80828
133	12427	80312
134	12525	80258
135	12604	80074
136	12678	79862
137	12777	79815
138	12840	79536
139	12902	79257
140	12977	79063
141	13079	79026
142	13128	78677
143	13201	78472
144	13268	78240
145	13349	78086
146	13391	77707
147	13494	77687
148	13645	77935
149	13698	77624
150	13777	77462
151	13860	77328
152	13936	77149
153	13983	76815
154	14035	76517
155	14085	76207
156	14157	76019
157	14208	75716
158	14378	76050
159	14524	76254
160	14706	76639
161	14823	76679
162	14881	76413
163	14907	75991
164	14934	75579
165	14966	75194
166	15061	75125
167	15164	75099
168	15218	74830
169	15271	74561
170	15314	74242
171	15393	74103
172	15443	73825
173	15596	74038
174	15645	73759
175	15722	73610
176	15797	73455
177	15840	73153
178	15887	72868
179	15991	72852
180	16041	72587
181	16086	72300
182	16137	72043
183	16227	71963
184	16299	71805
185	16351	71559
186	16401	71307
187	16495	71247
188	16547	71006
189	16598	70763
190	16649	70522
191	16722	70372
192	16749	70036
193	16801	69803
194	16839	69516
195	16873	69217
196	16897	68875
197	16922	68546
198	16990	68388
199	17021	68084
200	17045	67758
201	17091	67520
202	17120	67217
203	17145	66901
204	17209	66740
205	17245	66469
206	17279	66197
207	17321	65954
208	17364	65719
209	17387	65408
210	17432	65185
211	17452	64871
212	17481	64589
213	17507	64304
214	17537	64030
215	17587	63836
216	17658	63717
217	17686	63443
218	17711	63162
219	17758	62961
220	17783	62685
221	17875	62643
222	17930	62474
223	17955	62204
224	18006	62023
225	18049	61816
226	18080	61570
227	18176	61543
228	18199	61275
229	18221	61002
230	18248	60749
231	18274	60494
232	18324	60320
233	18349	60065
234	18375	59816
235	18418	59627
236	18442	59373
237	18468	59130
238	18496	58894
239	18519	58645
240	18547	58412
241	18570	58166
242	18618	58001
243	18642	57760
244	18663	57514
245	18692	57292
246	18761	57197
247	18783	56956
248	18794	56684
249	18837	56512
250	18859	56277
251	18881	56044
252	18906	55821
253	18973	55725
254	18996	55501
255	19024	55288
256	19045	55062
257	19056	54806
258	19096	54633
259	19106	54381
260	19148	54218
261	19177	54018
262	19219	53858
263	19250	53668
264	19272	53453
265	19300	53256
266	19325	53055
267	19353	52862
268	19415	52760
269	19443	52568
270	19471	52378
271	19481	52142
272	19509	51952
273	19564	51838
274	19590	51648
275	19615	51454
276	19642	51267
277	19664	51071
278	19675	50846
279	19696	50648
280	19707	50425
281	19732	50240
282	19763	50070
283	19810	49945
284	19841	49777
285	19848	49551
286	19874	49374
287	19925	49261
288	19948	49077
289	19959	48866
290	19986	48696
291	20036	48582
292	20058	48401
293	20070	48195
294	20097	48029
295	20151	47927
296	20181	47770
297	20238	47677
298	20258	47495
299	20291	47347
300	20319	47187
301	20349	47032
302	20363	46841
303	20417	46746
304	20445	46589
305	20478	46444
306	20530	46343
307	20554	46181
308	20579	46020
309	20608	45871
310	20634	45714
311	20647	45530
312	20679	45389
313	20703	45231
314	20714	45045
315	20736	44886
316	20762	44733
317	20785	44576
318	20798	44400
319	20822	44247
320	20843	44090
321	20856	43915
322	20906	43818
323	20927	43662
324	20936	43483
325	20960	43335
326	20984	43188
327	20992	43009
328	21015	42861
329	21024	42685
330	21053	42551
331	21083	42421
332	21108	42281
333	21130	42135
334	21146	41977
335	21158	41813
336	21182	41673
337	21191	41504
338	21206	41349
339	21234	41220
340	21278	41122
341	21287	40956
342	21314	40827
343	21339	40694
344	21361	40556
345	21368	40389
346	21387	40248
347	21401	40096
348	21426	39968
349	21452	39839
350	21478	39714
351	21507	39593
352	21540	39480
353	21564	39351
354	21586	39220
355	21597	39070
356	21627	38952
357	21649	38823
358	21677	38705
359	21698	38575
360	21711	38430
361	21724	38287
362	21746	38161
363	21767	38033
364	21777	37886
365	21804	37771
366	21831	37654
367	21855	37533
368	21892	37437
369	21915	37315
370	21937	37193
371	21948	37052
372	21972	36935
373	21994	36815
374	22024	36707
375	22049	36592
376	22089	36502
377	22112	36386
378	22133	36265
379	22146	36133
380	22184	36042
381	22209	35931
382	22234	35819
383	22243	35682
384	22271	35575
385	22296	35466
386	22324	35361
387	22347	35249
388	22377	35148
389	22404	35043
390	22428	34932
391	22438	34801
